,settlementDate,settlementPeriod,powerSystemResourceType,quantity
0,2021-07-19,1,"""Solar""",1
1,2021-07-19,1,"""Wind Offshore""",257.52
2,2021-07-19,1,"""Wind Onshore""",266.885
3,2021-07-19,1,"""Other""",139
4,2021-07-19,1,"""Nuclear""",4972
5,2021-07-19,1,"""Fossil Oil""",0
6,2021-07-19,1,"""Fossil Gas""",11225
7,2021-07-19,1,"""Fossil Hard coal""",845
8,2021-07-19,1,"""Hydro Run-of-river and poundage""",121
9,2021-07-19,1,"""Hydro Pumped Storage""",0
10,2021-07-19,1,"""Biomass""",2453
11,2021-07-19,2,"""Solar""",0
12,2021-07-19,2,"""Wind Offshore""",245.595
13,2021-07-19,2,"""Wind Onshore""",282.989
14,2021-07-19,2,"""Other""",138
15,2021-07-19,2,"""Nuclear""",4969
16,2021-07-19,2,"""Fossil Oil""",0
17,2021-07-19,2,"""Fossil Gas""",10659
18,2021-07-19,2,"""Fossil Hard coal""",646
19,2021-07-19,2,"""Hydro Run-of-river and poundage""",110
20,2021-07-19,2,"""Hydro Pumped Storage""",0
21,2021-07-19,2,"""Biomass""",2468
22,2021-07-19,3,"""Solar""",2
23,2021-07-19,3,"""Wind Offshore""",241.28
24,2021-07-19,3,"""Wind Onshore""",265.145
25,2021-07-19,3,"""Other""",139
26,2021-07-19,3,"""Nuclear""",4961
27,2021-07-19,3,"""Fossil Oil""",0
28,2021-07-19,3,"""Fossil Gas""",10558
29,2021-07-19,3,"""Fossil Hard coal""",413
30,2021-07-19,3,"""Hydro Run-of-river and poundage""",110
31,2021-07-19,3,"""Hydro Pumped Storage""",36
32,2021-07-19,3,"""Biomass""",2467
33,2021-07-19,4,"""Solar""",1
34,2021-07-19,4,"""Wind Offshore""",240.379
35,2021-07-19,4,"""Wind Onshore""",252.355
36,2021-07-19,4,"""Other""",138
37,2021-07-19,4,"""Nuclear""",4966
38,2021-07-19,4,"""Fossil Oil""",0
39,2021-07-19,4,"""Fossil Gas""",10635
40,2021-07-19,4,"""Fossil Hard coal""",418
41,2021-07-19,4,"""Hydro Run-of-river and poundage""",110
42,2021-07-19,4,"""Hydro Pumped Storage""",0
43,2021-07-19,4,"""Biomass""",2489
44,2021-07-19,5,"""Solar""",0
45,2021-07-19,5,"""Wind Offshore""",227.35
46,2021-07-19,5,"""Wind Onshore""",246.641
47,2021-07-19,5,"""Other""",199
48,2021-07-19,5,"""Nuclear""",4864
49,2021-07-19,5,"""Fossil Oil""",0
50,2021-07-19,5,"""Fossil Gas""",10747
