,settlementDate,settlementPeriod,imbalancePriceAmountGBP
0,2021-07-19,1,107
1,2021-07-19,2,107
2,2021-07-19,3,107
3,2021-07-19,4,107
4,2021-07-19,5,107
5,2021-07-19,6,106.75
6,2021-07-19,7,106.75
7,2021-07-19,8,106.75
8,2021-07-19,9,98
9,2021-07-19,10,95
10,2021-07-19,11,79.11
11,2021-07-19,12,79.11
12,2021-07-19,13,107
13,2021-07-19,14,80.77
14,2021-07-19,15,53.5
15,2021-07-19,16,54
16,2021-07-19,17,60
17,2021-07-19,18,79.63
18,2021-07-19,19,125
19,2021-07-19,20,125
20,2021-07-19,21,125
21,2021-07-19,22,125
22,2021-07-19,23,127.5
23,2021-07-19,24,118.5
24,2021-07-19,25,118.5
25,2021-07-19,26,118.5
26,2021-07-19,27,129.49988
27,2021-07-19,28,129.5
28,2021-07-19,29,128.95
29,2021-07-19,30,118.5
30,2021-07-19,31,129.5
31,2021-07-19,32,132
32,2021-07-19,33,135
33,2021-07-19,34,134
34,2021-07-19,35,150
35,2021-07-19,36,155
36,2021-07-19,37,155
37,2021-07-19,38,155
38,2021-07-19,39,150
39,2021-07-19,40,150
40,2021-07-19,41,150
41,2021-07-19,42,145
42,2021-07-19,43,150
43,2021-07-19,44,132.9
44,2021-07-19,45,127.8
45,2021-07-19,46,115
46,2021-07-19,47,112
47,2021-07-19,48,110
48,2021-07-20,1,110
49,2021-07-20,2,109
50,2021-07-20,3,66.3
51,2021-07-20,4,100
52,2021-07-20,5,100
53,2021-07-20,6,100
54,2021-07-20,7,99.99
55,2021-07-20,8,64.97013
56,2021-07-20,9,67.43
57,2021-07-20,10,65.74
58,2021-07-20,11,100
59,2021-07-20,12,76.65
60,2021-07-20,13,110
61,2021-07-20,14,105.02
62,2021-07-20,15,110
63,2021-07-20,16,131.86882
64,2021-07-20,17,128.75
65,2021-07-20,18,129.95
66,2021-07-20,19,129.94994
67,2021-07-20,20,128.75
68,2021-07-20,21,128.75
69,2021-07-20,22,64.3
70,2021-07-20,23,69.06
71,2021-07-20,24,128.75
72,2021-07-20,25,128.75
73,2021-07-20,26,65.28
74,2021-07-20,27,118
75,2021-07-20,28,118
76,2021-07-20,29,118
77,2021-07-20,30,118
78,2021-07-20,31,64.2
79,2021-07-20,32,64.5
80,2021-07-20,33,134.95
81,2021-07-20,34,140
82,2021-07-20,35,148.95059
83,2021-07-20,36,170
84,2021-07-20,37,170
85,2021-07-20,38,170
86,2021-07-20,39,185
87,2021-07-20,40,185
88,2021-07-20,41,170
89,2021-07-20,42,148.95
90,2021-07-20,43,140
91,2021-07-20,44,139
92,2021-07-20,45,130
93,2021-07-20,46,115
94,2021-07-20,47,107
95,2021-07-20,48,107
96,2021-07-21,1,107
97,2021-07-21,2,105
98,2021-07-21,3,100
99,2021-07-21,4,100
100,2021-07-21,5,64.63931
101,2021-07-21,6,63.75
102,2021-07-21,7,64.26
103,2021-07-21,8,64.46
104,2021-07-21,9,102.5
105,2021-07-21,10,67.29
106,2021-07-21,11,77.42
107,2021-07-21,12,65
108,2021-07-21,13,64.55
109,2021-07-21,14,100
110,2021-07-21,15,133
111,2021-07-21,16,135.75
112,2021-07-21,17,135.75
113,2021-07-21,18,135.75
114,2021-07-21,19,135.95
115,2021-07-21,20,135.75
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
