,settlementDate,settlementPeriod,marketIndexPrice,marketIndexVolume
0,2021-07-19,1,91.98,498.200
1,2021-07-19,2,87.92,409.250
2,2021-07-19,3,91.82,488.450
3,2021-07-19,4,90.27,701.650
4,2021-07-19,5,90.11,511.150
5,2021-07-19,6,85.09,635.800
6,2021-07-19,7,85.17,611.200
7,2021-07-19,8,87.66,551.150
8,2021-07-19,9,87.89,443.100
9,2021-07-19,10,83.25,585.450
10,2021-07-19,11,90.24,316.900
11,2021-07-19,12,97.10,676.000
12,2021-07-19,13,93.50,375.100
13,2021-07-19,14,84.59,937.500
14,2021-07-19,15,90.54,930.950
15,2021-07-19,16,98.89,831.200
16,2021-07-19,17,97.43,926.900
17,2021-07-19,18,93.63,1526.800
18,2021-07-19,19,89.83,1268.000
19,2021-07-19,20,90.37,1733.750
20,2021-07-19,21,96.41,1401.000
21,2021-07-19,22,94.87,1365.900
22,2021-07-19,23,89.86,805.000
23,2021-07-19,24,91.69,1126.750
24,2021-07-19,25,94.41,1092.400
25,2021-07-19,26,91.63,1121.050
26,2021-07-19,27,90.63,927.800
27,2021-07-19,28,93.32,1279.600
28,2021-07-19,29,92.94,1307.000
29,2021-07-19,30,95.55,1426.750
30,2021-07-19,31,113.25,895.600
31,2021-07-19,32,121.92,627.600
32,2021-07-19,33,138.61,1273.050
33,2021-07-19,34,142.03,1460.950
34,2021-07-19,35,140.92,1362.150
35,2021-07-19,36,142.94,1365.600
36,2021-07-19,37,145.69,1467.700
37,2021-07-19,38,143.66,1223.600
38,2021-07-19,39,140.76,1362.850
39,2021-07-19,40,138.37,1391.900
40,2021-07-19,41,137.22,1427.050
41,2021-07-19,42,135.11,1469.200
42,2021-07-19,43,130.75,1591.850
43,2021-07-19,44,125.19,1472.600
44,2021-07-19,45,120.71,1734.350
45,2021-07-19,46,112.22,1916.900
46,2021-07-19,47,104.34,558.550
47,2021-07-19,48,108.23,401.000
48,2021-07-20,1,105.63,436.500
49,2021-07-20,2,92.88,422.900
50,2021-07-20,3,75.31,483.350
51,2021-07-20,4,86.30,416.150
52,2021-07-20,5,86.85,240.450
53,2021-07-20,6,85.37,280.650
54,2021-07-20,7,79.52,328.300
55,2021-07-20,8,80.48,296.450
56,2021-07-20,9,77.11,284.450
57,2021-07-20,10,72.48,287.900
58,2021-07-20,11,95.40,402.850
59,2021-07-20,12,77.94,498.050
60,2021-07-20,13,99.58,390.900
61,2021-07-20,14,94.56,791.450
62,2021-07-20,15,102.11,814.150
63,2021-07-20,16,123.23,1116.050
64,2021-07-20,17,110.33,1202.350
65,2021-07-20,18,109.64,1096.550
66,2021-07-20,19,115.33,905.550
67,2021-07-20,20,109.50,968.100
68,2021-07-20,21,103.72,793.100
69,2021-07-20,22,92.67,824.700
70,2021-07-20,23,86.74,1090.550
71,2021-07-20,24,88.40,1012.100
72,2021-07-20,25,83.96,963.250
73,2021-07-20,26,82.11,905.550
74,2021-07-20,27,95.26,1349.250
75,2021-07-20,28,92.20,1167.500
76,2021-07-20,29,93.06,1418.650
77,2021-07-20,30,97.71,1605.850
78,2021-07-20,31,124.44,1755.900
79,2021-07-20,32,121.38,1420.300
80,2021-07-20,33,122.43,1227.950
81,2021-07-20,34,133.90,1415.650
82,2021-07-20,35,143.95,1682.300
83,2021-07-20,36,147.42,1606.000
84,2021-07-20,37,148.88,1442.950
85,2021-07-20,38,149.38,1451.800
86,2021-07-20,39,151.52,1420.550
87,2021-07-20,40,151.17,1292.450
88,2021-07-20,41,147.05,1161.900
89,2021-07-20,42,144.50,1349.300
90,2021-07-20,43,136.70,1127.250
91,2021-07-20,44,125.66,1102.900
92,2021-07-20,45,129.01,874.100
93,2021-07-20,46,119.17,809.200
94,2021-07-20,47,92.19,698.650
95,2021-07-20,48,89.42,601.350
96,2021-07-21,1,100.45,492.000
97,2021-07-21,2,97.63,352.200
98,2021-07-21,3,92.88,353.000
99,2021-07-21,4,91.54,315.400
100,2021-07-21,5,82.59,423.500
101,2021-07-21,6,77.81,481.600
102,2021-07-21,7,69.07,417.950
103,2021-07-21,8,75.45,504.900
104,2021-07-21,9,82.55,493.450
105,2021-07-21,10,74.60,463.600
106,2021-07-21,11,84.38,331.950
107,2021-07-21,12,78.44,582.400
108,2021-07-21,13,79.53,460.800
109,2021-07-21,14,90.04,927.500
110,2021-07-21,15,110.68,785.350
111,2021-07-21,16,118.93,709.800
112,2021-07-21,17,123.04,1038.800
113,2021-07-21,18,122.55,743.250
114,2021-07-21,19,123.22,851.500
115,2021-07-21,20,123.17,1014.900
116,2021-07-21,21,121.41,958.100
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
