HDR,SYSTEM FREQUENCY DATA
FREQ,20210720153300,50.028
FREQ,20210720153315,50.041
FREQ,20210720153330,50.040
FREQ,20210720153345,50.028
FREQ,20210720153400,50.006
FREQ,20210720153415,49.987
FREQ,20210720153430,50.001
FREQ,20210720153445,49.997
FREQ,20210720153500,50.015
FREQ,20210720153515,49.988
FREQ,20210720153530,50.012
FREQ,20210720153545,49.992
FREQ,20210720153600,49.997
FREQ,20210720153615,49.981
FREQ,20210720153630,50.000
FREQ,20210720153645,49.983
FREQ,20210720153700,49.966
FREQ,20210720153715,49.970
FREQ,20210720153730,49.971
FREQ,20210720153745,49.972
FREQ,20210720153800,49.975
FREQ,20210720153815,49.979
FREQ,20210720153830,49.958
FREQ,20210720153845,49.964
FREQ,20210720153900,49.951
FREQ,20210720153915,49.931
FREQ,20210720153930,49.910
FREQ,20210720153945,49.933
FREQ,20210720154000,49.937
FREQ,20210720154015,49.937
FREQ,20210720154030,49.938
FREQ,20210720154045,49.943
FREQ,20210720154100,49.937
FREQ,20210720154115,49.955
FREQ,20210720154130,49.980
FREQ,20210720154145,49.969
FREQ,20210720154200,49.990
FREQ,20210720154215,49.962
FREQ,20210720154230,49.966
FREQ,20210720154245,49.971
FREQ,20210720154300,49.972
FREQ,20210720154315,49.977
FREQ,20210720154330,49.973
FREQ,20210720154345,49.964
FREQ,20210720154400,49.964
FREQ,20210720154415,49.962
FREQ,20210720154430,49.984
FREQ,20210720154445,49.979
FREQ,20210720154500,49.969
FREQ,20210720154515,49.951
FREQ,20210720154530,49.951
FREQ,20210720154545,49.943
FREQ,20210720154600,49.969
FREQ,20210720154615,49.939
FREQ,20210720154630,49.945
FREQ,20210720154645,49.957
FREQ,20210720154700,49.927
FREQ,20210720154715,49.916
FREQ,20210720154730,49.916
FREQ,20210720154745,49.924
FREQ,20210720154800,49.941
FREQ,20210720154815,49.944
FREQ,20210720154830,49.984
FREQ,20210720154845,49.971
FREQ,20210720154900,49.985
FREQ,20210720154915,49.978
FREQ,20210720154930,49.973
FREQ,20210720154945,49.999
FREQ,20210720155000,49.989
FREQ,20210720155015,49.994
FREQ,20210720155030,49.993
FREQ,20210720155045,50.017
FREQ,20210720155100,49.987
FREQ,20210720155115,49.970
FREQ,20210720155130,49.945
FREQ,20210720155145,49.971
FREQ,20210720155200,49.965
FREQ,20210720155215,49.943
FREQ,20210720155230,49.931
FREQ,20210720155245,49.925
FREQ,20210720155300,49.942
FREQ,20210720155315,49.947
FREQ,20210720155330,49.969
FREQ,20210720155345,49.962
FREQ,20210720155400,49.969
FREQ,20210720155415,49.942
FREQ,20210720155430,49.934
FREQ,20210720155445,49.946
FREQ,20210720155500,49.978
FREQ,20210720155515,49.964
FREQ,20210720155530,49.978
FREQ,20210720155545,49.992
FREQ,20210720155600,49.973
FREQ,20210720155615,49.975
FREQ,20210720155630,49.956
FREQ,20210720155645,49.954
FREQ,20210720155700,49.990
FREQ,20210720155715,49.973
FREQ,20210720155730,49.973
FREQ,20210720155745,49.971
FREQ,20210720155800,49.958
FREQ,20210720155815,49.961
FREQ,20210720155830,49.952
FREQ,20210720155845,49.979
FREQ,20210720155900,49.983
FREQ,20210720155915,49.964
FREQ,20210720155930,49.971
FREQ,20210720155945,49.975
FREQ,20210720160000,50.016
FREQ,20210720160015,50.038
FREQ,20210720160030,50.097
FREQ,20210720160045,50.097
FREQ,20210720160100,50.105
FREQ,20210720160115,50.087
FREQ,20210720160130,50.087
FREQ,20210720160145,50.103
FREQ,20210720160200,50.102
FREQ,20210720160215,50.103
FREQ,20210720160230,50.125
FREQ,20210720160245,50.124
FREQ,20210720160300,50.119
FREQ,20210720160315,50.135
FREQ,20210720160330,50.117
FREQ,20210720160345,50.120
FREQ,20210720160400,50.114
FREQ,20210720160415,50.125
FREQ,20210720160430,50.141
FREQ,20210720160445,50.129
FREQ,20210720160500,50.120
FREQ,20210720160515,50.102
FREQ,20210720160530,50.099
FREQ,20210720160545,50.089
FREQ,20210720160600,50.097
FREQ,20210720160615,50.113
FREQ,20210720160630,50.180
FREQ,20210720160645,50.145
FREQ,20210720160700,50.098
FREQ,20210720160715,50.096
FREQ,20210720160730,50.095
FREQ,20210720160745,50.061
FREQ,20210720160800,50.084
FREQ,20210720160815,50.108
FREQ,20210720160830,50.123
FREQ,20210720160845,50.110
FREQ,20210720160900,50.098
FREQ,20210720160915,50.084
FREQ,20210720160930,50.073
FREQ,20210720160945,50.095
FREQ,20210720161000,50.105
FREQ,20210720161015,50.100
FREQ,20210720161030,50.088
FREQ,20210720161045,50.106
FREQ,20210720161100,50.091
FREQ,20210720161115,50.103
FREQ,20210720161130,50.092
FREQ,20210720161145,50.098
FREQ,20210720161200,50.129
FREQ,20210720161215,50.115
FREQ,20210720161230,50.102
FREQ,20210720161245,50.112
FREQ,20210720161300,50.077
FREQ,20210720161315,50.066
FREQ,20210720161330,50.060
FREQ,20210720161345,50.075
FREQ,20210720161400,50.090
FREQ,20210720161415,50.075
FREQ,20210720161430,50.061
FREQ,20210720161445,50.051
FREQ,20210720161500,50.046
FREQ,20210720161515,50.054
FREQ,20210720161530,50.047
FREQ,20210720161545,50.063
FREQ,20210720161600,50.045
FREQ,20210720161615,50.059
FREQ,20210720161630,50.057
FREQ,20210720161645,50.044
FREQ,20210720161700,50.044
FREQ,20210720161715,50.041
FREQ,20210720161730,50.015
FREQ,20210720161745,50.001
FREQ,20210720161800,49.987
FREQ,20210720161815,50.014
FREQ,20210720161830,50.026
FREQ,20210720161845,50.043
FREQ,20210720161900,50.056
FREQ,20210720161915,50.060
FREQ,20210720161930,50.048
FREQ,20210720161945,50.051
FREQ,20210720162000,50.067
FREQ,20210720162015,50.083
FREQ,20210720162030,50.081
FREQ,20210720162045,50.085
FREQ,20210720162100,50.088
FREQ,20210720162115,50.069
FREQ,20210720162130,50.054
FREQ,20210720162145,50.058
FREQ,20210720162200,50.061
FREQ,20210720162215,50.038
FREQ,20210720162230,50.040
FREQ,20210720162245,50.058
FREQ,20210720162300,50.056
FREQ,20210720162315,50.065
FREQ,20210720162330,50.072
FREQ,20210720162345,50.064
FREQ,20210720162400,50.060
FREQ,20210720162415,50.053
FREQ,20210720162430,50.067
FREQ,20210720162445,50.057
FREQ,20210720162500,50.073
FREQ,20210720162515,50.080
FREQ,20210720162530,50.069
FREQ,20210720162545,50.054
FREQ,20210720162600,50.029
FREQ,20210720162615,50.046
FREQ,20210720162630,50.048
FREQ,20210720162645,50.054
FREQ,20210720162700,50.058
FREQ,20210720162715,50.046
FREQ,20210720162730,50.051
FREQ,20210720162745,50.053
FREQ,20210720162800,50.049
FREQ,20210720162815,50.024
FREQ,20210720162830,50.030
FREQ,20210720162845,50.025
FREQ,20210720162900,50.051
FREQ,20210720162915,50.030
FREQ,20210720162930,50.050
FREQ,20210720162945,50.045
FREQ,20210720163000,50.018
FREQ,20210720163015,50.009
FREQ,20210720163030,50.021
FREQ,20210720163045,49.986
FREQ,20210720163100,50.003
FREQ,20210720163115,50.025
FREQ,20210720163130,50.035
FREQ,20210720163145,50.019
FREQ,20210720163200,50.035
FREQ,20210720163215,50.004
FREQ,20210720163230,50.039
FREQ,20210720163245,50.039
FREQ,20210720163300,50.028
